57	Nomoddiy aktivlarni xarid qilish bo‘yicha xizmatlar uchun turli kreditorlarga qarz aks ettirilgan 	0830	6990	Hisobvaraq-faktura, yukxat 
58	Materiallarni xarid qilishda turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	1010-1090	6990	Hisobvaraq-faktura, tovar-transport yukxati 
59	Hayvonlarni xarid qilishda turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va hokazolar) 	1110, 1120	6990	Hisobvaraq-faktura, tovar-transport yukxati 
60	1510 "Materiallarni tayyorlash va xarid qilish" schyotidan foydalanilgan holda materiallarni xarid qilishda turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	1510	6990	Hisobvaraq-faktura, tovar-transport yukxati 
61	Asosiy ishlab chiqarish uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	2010	6990	Hisobvaraq-faktura, tovar-transport yukxati 
62	Yordamchi ishlab chiqarish uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	2310	6990	Hisobvaraq-faktura, tovar-transport yukxati 
63	Umumishlab chiqarish ehtiyojlari uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va hokazolar) 	2510	6990	Hisobvaraq-faktura, tovar-transport yukxati 
64	Yaroqsizlikni tuzatish uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	2610	6990	Hisobvaraq-faktura, tovar-transport yukxati 
65	Xizmat ko‘rsatuvchi xo‘jaliklar uchun turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	2710	6990	Hisobvaraq-faktura, tovar-transport yukxati 
66	Tovarlarni xarid qilishda turli tashkilotlar va korxonalar tomonidan xizmatlar ko‘rsatilgan (transport xizmatlari va h.k.) 	2910, 2990	6990	Hisobvaraq-faktura, tovar-transport yukxati 
